label,tweet,label_category
2,!!! rt @mayasolovely: as a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...,Neutral
1,!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,Offensive Language
1,!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit,Offensive Language
1,!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny,Offensive Language
1,!!!!!!!!!!!!! rt @shenikaroberts: the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,Offensive Language
1,"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 😂😂😂""",Offensive Language
1,"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!""",Offensive Language
1,!!!!“@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!”,Offensive Language
1,""" & you might not get ya bitch back & thats that """,Offensive Language
1,""" @rhythmixx_ :hobbies include: fighting mariam"" bitch",Offensive Language
1,""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh",Offensive Language
1,""" murda gang bitch its gang land """,Offensive Language
1,""" so hoes that smoke are losers ? "" yea ... go on ig",Offensive Language
1,""" bad bitches is the only thing that i like """,Offensive Language
1,""" bitch get up off me """,Offensive Language
1,""" bitch nigga miss me with it """,Offensive Language
1,""" bitch plz whatever """,Offensive Language
1,""" bitch who do you love """,Offensive Language
1,""" bitches get cut off everyday b """,Offensive Language
1,""" black bottle & a bad bitch """,Offensive Language
1,""" broke bitch cant tell me nothing """,Offensive Language
1,""" cancel that bitch like nino """,Offensive Language
1,""" cant you see these hoes wont change """,Offensive Language
1,""" fuck no that bitch dont even suck dick "" 😂😂😂 the kermit videos bout to fuck ig up",Offensive Language
1,""" got ya bitch tip toeing on my hardwood floors "" 😂 httpurl",Offensive Language
1,""" her pussy lips like heaven doors "" 😌",Offensive Language
1,""" hoe what its hitting for """,Offensive Language
1,""" i met that pussy on ocean dr . i gave that pussy a pill "" 😌",Offensive Language
1,""" i need a trippy bitch who fuck on hennessy """,Offensive Language
1,""" i spend my money how i want bitch its my business """,Offensive Language
1,""" i txt my old bitch my new bitch pussy wetter """,Offensive Language
1,""" i'd say im back to the old me but my old bitches would get excited "" 😌",Offensive Language
1,""" if you aint bout that murder game pussy nigga shut up """,Offensive Language
1,""" if you're toes ain't done you pussy stinks """,Offensive Language
1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,Offensive Language
1,""" is that ya bitch """,Offensive Language
1,""" it aint nothing to cut a bitch off """,Offensive Language
1,""" jus meet son now he ya mane ass bitches "" #shots",Offensive Language
1,""" lames crying over hoes thats tears of a clown """,Offensive Language
1,""" like snoop said in 94 we dont love these hoes """,Offensive Language
2,""" momma said no pussy cats inside my doghouse """,Neutral
1,""" most hated but the hoes favorite "" #2mw #sevenone # httpurl",Offensive Language
1,""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" httpurl",Offensive Language
1,""" pimps up pimps up hoes down "" future voice",Offensive Language
1,""" post a picture of that pussy get 200 likes """,Offensive Language
1,""" pussy is a powerful drug "" 😅 #happyhumpday httpurl",Offensive Language
1,""" quick piece of pussy call it a drive by """,Offensive Language
1,""" running round here like some brand new pussy thats bout to get fucked """,Offensive Language
1,""" these bitches even worst they'll send them guys for you """,Offensive Language
1,""" these hoes like niggas that spend money not talk bout it """,Offensive Language
1,""" we dont trust these niggas all these bitches """,Offensive Language
1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,Offensive Language
1,""" you dodge a bullet "" 😅 “@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god 🙏""”",Offensive Language
1,""" young pill chamberlain these bitches love my music """,Offensive Language
1,"""😂😂😂😂😂😂😂😂😂😂😂@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but.........""",Offensive Language
1,"""😂😂😂😂😂😂😂😂😂😂@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight""",Offensive Language
1,"""😂😂😂@the_paradox: and ima steal his cat n replace it with a pitbull 😂😂😂😂 rt @80sbaby4life: @the_paradox he a bitch you should do it""",Offensive Language
1,"""& he's gone always be a hoe""",Offensive Language
1,"""...son of a bitch took my tic tacs."" i like this movie.",Offensive Language
1,"""..all i wanna do is get money and fuck model bitches!"" - russell simmons",Offensive Language
1,"""@2015seniorprobs: i probably wouldn’t mind school as much if we didn’t have to deal with bitch ass teachers"". retweet",Offensive Language
1,"""@a7xdemery: i'm a fucking fag they said""",Offensive Language
1,"""@arizzleindacut: females think dating a pussy is cute now? httpurl"" how does doing this stuff make him a pussy?",Offensive Language
2,"""@addicted2guys: -simplyaddictedtoguys httpurl"" woof woof hot scally lad",Neutral
1,"""@adorebellaaa: have ya ever asked your bitch for other bitches - kanye voice"" yes",Offensive Language
